                        Nombre_de_la_prueba: JUAN_1

  Datos_de_entrada
  b      7.50000     lm      97.5000    hc     11.0000
  fpc      280.330
 tipo_acero: G42RB                                              rho     3.464666E-03
      Datos del acero
  diámetro      núm._de_barras         profundidad
      1.27000         1.00000         5.50000
      1.27000         1.00000         92.0000
 altura_ini_fin_mod      5.50000         92.0000

 datos_estribos

 Criterios_de_iteración
 iter_máx_para_C     1000.00     núm.de_fibras:      2000.00

                 Resultados

                          Criterio_falla_concreto_NO_confinado
  Momento         Carga_axial             eje_Neutro              phi

      0.00000         119.292         243.750         0.00000
      2211.64         105.318         193.000        1.417132E-05
      2261.70         105.066         191.000        1.432878E-05
      2313.44         104.806         189.000        1.448978E-05
      2367.16         104.537         187.000        1.465444E-05
      2423.14         104.258         185.000        1.482288E-05
      2480.92         103.971         183.000        1.499524E-05
      2541.04         103.673         181.000        1.517165E-05
      2603.44         103.365         179.000        1.535227E-05
      2668.34         103.046         177.000        1.553723E-05
      2735.72         102.715         175.000        1.572671E-05
      2805.83         102.372         173.000        1.592087E-05
      2878.78         102.017         171.000        1.611988E-05
      2954.62         101.649         169.000        1.632393E-05
      3033.74         101.266         167.000        1.653321E-05
      3116.20         100.869         165.000        1.674793E-05
      3202.02         100.456         163.000        1.696830E-05
      3291.51         100.028         161.000        1.719454E-05
      3384.90         99.5816         159.000        1.742690E-05
      3482.55         99.1175         157.000        1.766562E-05
      3584.44         98.6344         155.000        1.791098E-05
      3690.89         98.1311         153.000        1.816324E-05
      3802.29         97.6066         151.000        1.842272E-05
      3918.77         97.0595         149.000        1.868972E-05
      4040.81         96.4886         147.000        1.896457E-05
      4168.70         95.8924         145.000        1.924762E-05
      4302.66         95.2695         143.000        1.953925E-05
      4443.27         94.6181         141.000        1.983985E-05
      4590.84         93.9365         139.000        2.014985E-05
      4745.85         93.2228         137.000        2.046969E-05
      4908.90         92.4749         135.000        2.079985E-05
      5080.38         91.6906         133.000        2.114083E-05
      5260.97         90.8674         131.000        2.149317E-05
      5451.31         90.0027         129.000        2.185746E-05
      5652.12         89.0937         127.000        2.223432E-05
      5864.16         88.1368         125.000        2.262439E-05
      6087.87         87.1298         123.000        2.302840E-05
      6324.72         86.0680         121.000        2.344710E-05
      6575.33         84.9475         119.000        2.388130E-05
      6840.95         83.7641         117.000        2.433189E-05
      7122.74         82.5126         115.000        2.479981E-05
      7421.97         81.1881         113.000        2.528609E-05
      7740.04         79.7844         111.000        2.579181E-05
      8078.59         78.2952         109.000        2.631817E-05
      8439.43         76.7132         107.000        2.686647E-05
      8824.38         75.0307         105.000        2.743809E-05
      9235.72         73.2387         103.000        2.803457E-05
      9675.83         71.3276         101.000        2.865756E-05
      10147.4         69.2863         99.0000        2.930887E-05
      10655.4         67.0556         97.0000        2.999047E-05
      10667.7         66.9487         96.9000        3.002539E-05
      10688.7         66.8044         96.8000        3.006038E-05
      10735.9         66.7745         96.7000        3.009546E-05
      10756.7         66.6305         96.6000        3.013061E-05
      10777.5         66.4867         96.5000        3.016585E-05
      10798.2         66.3430         96.4000        3.020118E-05
      10810.8         66.2345         96.3000        3.023658E-05
      10857.7         66.2043         96.2000        3.027207E-05
      10878.4         66.0605         96.1000        3.030764E-05
      10899.0         65.9168         96.0000        3.034330E-05
      10919.5         65.7734         95.9000        3.037904E-05
      10966.1         65.7431         95.8000        3.041486E-05
      10986.6         65.5997         95.7000        3.045077E-05
      11007.0         65.4563         95.6000        3.048676E-05
      11027.4         65.3131         95.5000        3.052284E-05
      11066.3         65.3149         95.4000        3.055900E-05
      11086.6         65.1716         95.3000        3.059526E-05
      11107.0         65.0283         95.2000        3.063159E-05
      11127.2         64.8850         95.1000        3.066801E-05
      11173.3         64.8540         95.0000        3.070452E-05
      11193.5         64.7110         94.9000        3.074112E-05
      11213.6         64.5680         94.8000        3.077780E-05
      11233.8         64.4248         94.7000        3.081457E-05
      11279.5         64.3940         94.6000        3.085143E-05
      11299.6         64.2510         94.5000        3.088838E-05
      11319.5         64.1082         94.4000        3.092541E-05
      11339.5         63.9655         94.3000        3.096254E-05
      11356.8         63.0801         94.2000        2.987253E-05
      11346.0         62.2783         94.1000        2.899393E-05
      11341.5         61.4945         94.0000        2.816553E-05
      11336.5         60.7525         93.9000        2.738316E-05
      11331.0         60.0616         93.8000        2.664308E-05
      11264.1         59.1591         93.7001        2.594194E-05
      11200.2         58.3010         93.6001        2.527677E-05
      11139.1         57.4843         93.5001        2.464485E-05
      11107.1         56.8215         93.4001        2.404376E-05
      11050.3         56.0757         93.3001        2.347129E-05
      10993.3         55.3535         93.2001        2.292544E-05
      10934.7         54.6468         93.1001        2.240441E-05
      10899.6         54.0651         93.0001        2.190654E-05
      10833.6         53.3709         92.9001        2.143031E-05
      10762.7         52.6772         92.8001        2.097434E-05
      10687.5         51.9855         92.7001        2.053738E-05
      10634.9         51.4109         92.6001        2.011825E-05
      10553.0         50.7265         92.5001        1.971589E-05
      10468.8         50.0479         92.4001        1.932930E-05
      10382.5         49.3758         92.3001        1.895758E-05
      10320.2         48.8218         92.2001        1.859989E-05
      10230.9         48.1641         92.1001        1.825545E-05
      10140.7         47.5147         92.0001        1.792354E-05
      10049.8         46.8741         91.9001        1.760347E-05
      9985.78         46.3387         91.8001        1.729464E-05
      9893.94         45.7158         91.7001        1.699646E-05
      9802.10         45.1024         91.6001        1.670838E-05
      9710.37         44.4984         91.5001        1.642991E-05
      9642.71         44.0076         91.4001        1.616057E-05
      9551.38         43.4219         91.3001        1.589991E-05
      9460.51         42.8458         91.2001        1.564753E-05
      9370.19         42.2794         91.1001        1.540304E-05
      9303.48         41.8221         91.0001        1.516607E-05
      9214.29         41.2737         90.9001        1.493628E-05
      9125.92         40.7347         90.8001        1.471335E-05
      9060.56         40.3017         90.7001        1.449698E-05
      8973.58         39.7802         90.6001        1.428688E-05
      8889.03         39.2611         90.5001        1.408278E-05
      8803.82         38.7578         90.4001        1.388443E-05
      8740.92         38.3563         90.3001        1.369159E-05
      8657.41         37.8694         90.2001        1.350404E-05
      8574.83         37.3912         90.1001        1.332155E-05
      8493.30         36.9212         90.0001        1.314393E-05
      8433.27         36.5488         89.9001        1.297099E-05
      8354.67         36.0892         89.8001        1.280253E-05
      8275.89         35.6427         89.7001        1.263840E-05
      8218.01         35.2905         89.6001        1.247842E-05
      8141.06         34.8585         89.5001        1.232244E-05
      8065.07         34.4339         89.4001        1.217031E-05
      7990.13         34.0166         89.3001        1.202189E-05
      7935.30         33.6896         89.2001        1.187705E-05
      7862.96         33.2820         89.1001        1.173565E-05
      7790.77         32.8850         89.0001        1.159759E-05
      7719.49         32.4947         88.9001        1.146273E-05
      7667.67         32.1910         88.8001        1.133098E-05
      7598.17         31.8129         88.7001        1.120222E-05
      7530.26         31.4384         88.6001        1.107635E-05
      7480.47         31.1505         88.5001        1.095328E-05
      7413.63         30.7903         88.4001        1.083291E-05
      7347.68         30.4361         88.3001        1.071516E-05
      7282.60         30.0876         88.2001        1.059995E-05
      7236.09         29.8174         88.1001        1.048718E-05
      7172.59         29.4795         88.0001        1.037679E-05
      7110.02         29.1470         87.9001        1.026870E-05
      7064.95         28.8924         87.8001        1.016284E-05
      7004.20         28.5683         87.7001        1.005913E-05
      6944.00         28.2508         87.6001        9.957526E-06
      6884.57         27.9384         87.5001        9.857951E-06
      6842.04         27.7005         87.4001        9.760347E-06
      6784.24         27.3962         87.3001        9.664658E-06
      6727.05         27.0975         87.2001        9.570826E-06
      6686.22         26.8712         87.1002        9.478799E-06
      6630.55         26.5804         87.0002        9.388525E-06
      6575.47         26.2947         86.9002        9.299954E-06
      6521.12         26.0132         86.8002        9.213039E-06
      6482.55         25.8013         86.7002        9.127732E-06
      6429.54         25.5275         86.6002        9.043992E-06
      6377.19         25.2579         86.5002        8.961774E-06
      6340.16         25.0558         86.4002        8.881038E-06
      6289.08         24.7935         86.3002        8.801742E-06
      6238.65         24.5350         86.2002        8.723851E-06
      6203.10         24.3420         86.1002        8.647326E-06
      6153.89         24.0903         86.0002        8.572132E-06
      6105.29         23.8422         85.9002        8.498234E-06
      6057.34         23.5976         85.8002        8.425600E-06
      6023.73         23.4161         85.7002        8.354196E-06
      5976.87         23.1778         85.6002        8.283993E-06
      5930.66         22.9429         85.5002        8.214960E-06
      5898.34         22.7692         85.4002        8.147068E-06
      5853.13         22.5401         85.3002        8.080288E-06
      5808.51         22.3143         85.2002        8.014596E-06
      5777.45         22.1480         85.1002        7.949961E-06
      5733.83         21.9277         85.0002        7.886362E-06
      5690.75         21.7104         84.9002        7.823772E-06
      5648.22         21.4960         84.8002        7.762167E-06
      5618.75         21.3390         84.7002        7.701526E-06
      5577.17         21.1298         84.6002        7.641824E-06
      5536.08         20.9234         84.5002        7.583040E-06
      5507.72         20.7728         84.4002        7.525155E-06
      5467.53         20.5713         84.3002        7.468146E-06
      5427.83         20.3724         84.2002        7.411994E-06
      5400.51         20.2278         84.1002        7.356681E-06
      5361.66         20.0335         84.0002        7.302187E-06
      5323.27         19.8417         83.9002        7.248495E-06
      5296.95         19.7029         83.8002        7.195586E-06
      5259.35         19.5155         83.7002        7.143444E-06
      5222.21         19.3305         83.6002        7.092052E-06
      5185.51         19.1477         83.5002        7.041395E-06
      5160.48         19.0161         83.4002        6.991456E-06
      5124.51         18.8375         83.3002        6.942220E-06
      5089.00         18.6610         83.2002        6.893673E-06
      5064.84         18.5344         83.1002        6.845801E-06
      5030.02         18.3618         83.0002        6.798588E-06
      4995.60         18.1914         82.9002        6.752023E-06
      4972.28         18.0694         82.8002        6.706091E-06
      4938.56         17.9027         82.7002        6.660779E-06
      4905.21         17.7379         82.6002        6.616076E-06
      4882.68         17.6204         82.5002        6.571969E-06
      4849.99         17.4592         82.4002        6.528446E-06
      4817.67         17.2998         82.3002        6.485496E-06
      4795.88         17.1865         82.2002        6.443107E-06
      4764.19         17.0305         82.1002        6.401268E-06
      4732.85         16.8763         82.0002        6.359970E-06
      4711.79         16.7670         81.9002        6.319201E-06
      4681.03         16.6160         81.8002        6.278951E-06
      4650.63         16.4666         81.7002        6.239211E-06
      4630.24         16.3612         81.6002        6.199971E-06
      4600.41         16.2149         81.5002        6.161221E-06
      4570.89         16.0702         81.4002        6.122953E-06
      4551.16         15.9684         81.3002        6.085157E-06
      4522.18         15.8266         81.2002        6.047824E-06
      4493.52         15.6864         81.1002        6.010947E-06
      4474.42         15.5880         81.0002        5.974518E-06
      4446.27         15.4506         80.9002        5.938527E-06
      4418.43         15.3146         80.8002        5.902966E-06
      4399.92         15.2195         80.7002        5.867830E-06
      4372.55         15.0862         80.6003        5.833109E-06
      4345.50         14.9543         80.5003        5.798796E-06
      4327.56         14.8622         80.4003        5.764885E-06
      4300.96         14.7329         80.3003        5.731369E-06
      4274.64         14.6049         80.2003        5.698239E-06
      4257.23         14.5158         80.1003        5.665491E-06
      4231.40         14.3902         80.0003        5.633116E-06
      4205.81         14.2659         79.9003        5.601110E-06
      4188.91         14.1797         79.8003        5.569465E-06
      4163.76         14.0577         79.7003        5.538177E-06
      4138.85         13.9370         79.6003        5.507237E-06
      4122.45         13.8534         79.5003        5.476641E-06
      4097.98         13.7349         79.4003        5.446384E-06
      4073.74         13.6176         79.3003        5.416458E-06
      4057.81         13.5365         79.2003        5.386860E-06
      4033.98         13.4213         79.1003        5.357584E-06
      4010.39         13.3073         79.0003        5.328624E-06
      3994.91         13.2287         78.9003        5.299975E-06
      3971.70         13.1167         78.8003        5.271633E-06
      3956.51         13.0396         78.7003        5.243593E-06
      3933.67         12.9296         78.6003        5.215849E-06
      3911.07         12.8206         78.5003        5.188397E-06
      3896.28         12.7458         78.4003        5.161233E-06
      3874.05         12.6387         78.3003        5.134351E-06
      3852.01         12.5327         78.2003        5.107749E-06
      3837.62         12.4601         78.1003        5.081420E-06
      3815.94         12.3558         78.0003        5.055361E-06
      3794.47         12.2526         77.9003        5.029568E-06
